GeoFips,GeoName,2017,2018,2019,2020,2021,2022
0,United States,"19,612,102.00","20,193,896.00","20,692,087.00","20,234,074.00","21,407,692.00","21,822,037.00"
1000,Alabama,"216,615.50","220,808.80","224,944.60","222,081.40","231,892.60","235,807.30"
2000,Alaska,"53,550.90","52,479.60","52,325.30","50,344.60","51,021.80","50,315.10"
4000,Arizona,"333,099.00","346,398.30","359,645.70","362,603.50","390,805.20","403,474.20"
5000,Arkansas,"123,882.60","126,371.20","127,216.00","128,061.20","135,568.80","137,355.50"
6000,California,"2,740,550.30","2,850,970.30","2,962,792.10","2,925,146.90","3,146,185.30","3,167,460.80"
8000,Colorado,"350,209.10","365,204.50","383,596.00","380,921.90","406,961.50","416,114.40"
9000,Connecticut,"273,875.10","274,582.80","274,219.40","258,625.00","268,846.70","276,668.80"
10000,Delaware,"69,555.60","70,856.40","74,597.40","72,550.30","74,436.70","75,172.60"
11000,District of Columbia,"134,298.80","138,056.80","138,867.40","137,762.30","142,676.30","144,029.60"
12000,Florida,"1,014,866.90","1,050,433.80","1,079,271.00","1,068,377.50","1,164,778.20","1,218,430.20"
13000,Georgia,"583,543.30","600,934.70","620,792.40","602,321.80","639,236.00","655,827.30"
15000,Hawaii,"87,436.40","88,836.40","88,945.30","79,592.50","84,121.50","85,211.40"
16000,Idaho,"72,935.10","77,652.10","81,261.30","82,818.60","87,992.90","91,683.70"
17000,Illinois,"832,826.80","851,517.20","857,985.00","810,210.10","852,749.10","864,170.90"
18000,Indiana,"357,535.80","368,762.90","371,044.50","359,184.70","384,051.00","396,009.20"
19000,Iowa,"187,125.00","189,245.10","188,318.40","187,136.70","198,470.80","197,846.30"
20000,Kansas,"166,273.60","169,796.90","170,351.70","168,540.80","172,839.80","174,794.60"
21000,Kentucky,"203,564.00","205,940.10","211,739.70","206,288.80","214,565.10","217,568.10"
22000,Louisiana,"239,830.70","245,220.30","246,361.10","228,825.30","234,014.40","231,262.30"
23000,Maine,"63,000.60","64,806.30","66,351.20","67,420.60","70,869.90","72,413.50"
24000,Maryland,"399,714.50","402,480.90","402,346.20","388,532.30","405,905.30","412,282.60"
25000,Massachusetts,"530,129.40","549,262.10","566,706.20","556,196.40","591,911.50","604,357.70"
26000,Michigan,"505,101.50","516,843.00","517,845.20","502,483.70","531,500.00","539,898.20"
27000,Minnesota,"354,721.90","364,799.70","368,688.70","358,127.20","374,733.30","379,111.50"
28000,Mississippi,"110,281.40","110,174.80","110,537.90","109,894.10","114,198.50","114,152.90"
29000,Missouri,"311,273.80","314,182.40","320,880.80","315,276.20","330,117.50","336,625.80"
30000,Montana,"48,470.50","49,455.00","50,318.90","50,159.60","52,952.00","53,983.40"
31000,Nebraska,"123,219.90","125,543.40","127,481.80","126,890.60","133,495.70","137,078.10"
32000,Nevada,"163,199.10","168,638.50","175,771.30","165,793.90","181,102.90","187,226.20"
33000,New Hampshire,"81,179.60","82,269.50","84,031.20","83,182.10","89,890.10","90,150.50"
34000,New Jersey,"590,086.70","606,892.20","617,110.70","595,973.40","629,011.30","646,731.30"
35000,New Mexico,"93,210.10","96,077.00","100,446.20","97,511.90","99,572.30","101,315.00"
36000,New York,"1,624,800.70","1,665,186.80","1,709,750.70","1,650,567.20","1,724,472.20","1,763,524.60"
37000,North Carolina,"546,810.10","556,573.70","568,475.60","564,794.40","597,316.10","609,058.20"
38000,North Dakota,"56,530.20","58,516.40","59,142.30","55,699.10","55,401.00","54,798.70"
39000,Ohio,"652,187.50","656,212.00","674,123.40","654,586.30","686,206.40","689,681.30"
40000,Oklahoma,"192,538.60","196,030.50","199,462.10","190,751.70","193,518.00","191,583.00"
41000,Oregon,"225,534.50","234,308.30","239,910.50","237,670.40","250,099.40","254,708.40"
42000,Pennsylvania,"754,318.00","763,855.40","772,529.50","736,470.60","764,601.60","772,335.90"
44000,Rhode Island,"58,771.60","58,740.10","59,866.60","58,155.20","60,777.30","62,190.90"
45000,South Carolina,"224,937.60","231,663.30","237,511.40","233,712.30","244,854.00","250,873.40"
46000,South Dakota,"51,615.10","51,937.80","52,360.10","52,692.10","55,140.40","54,959.30"
47000,Tennessee,"355,417.50","362,363.70","370,088.30","366,555.20","396,576.20","412,101.30"
48000,Texas,"1,667,313.00","1,746,543.30","1,802,912.80","1,772,185.60","1,873,473.40","1,924,007.50"
49000,Utah,"172,075.00","182,106.00","192,698.70","194,753.70","209,975.20","213,898.30"
50000,Vermont,"32,589.20","32,827.80","33,207.60","32,307.10","33,860.80","34,609.40"
51000,Virginia,"515,167.20","527,767.50","541,070.20","533,828.30","562,888.00","576,964.30"
53000,Washington,"527,169.40","561,785.70","588,930.40","590,401.00","630,819.80","641,143.60"
54000,West Virginia,"75,172.40","77,406.50","76,786.60","73,952.90","75,520.50","76,525.50"
55000,Wisconsin,"321,886.80","328,832.40","333,698.60","322,972.70","334,517.30","335,688.50"
56000,Wyoming,"37,620.30","37,977.20","38,558.20","36,181.30","36,929.50","37,294.20"
91000,New England,"1,039,545.40","1,062,478.00","1,084,356.20","1,055,848.30","1,116,077.90","1,140,307.60"
92000,Mideast,"3,572,774.40","3,647,342.20","3,715,334.90","3,582,052.50","3,741,297.60","3,814,224.40"
93000,Great Lakes,"2,669,538.30","2,722,152.20","2,754,723.60","2,649,399.50","2,788,918.80","2,825,277.10"
94000,Plains,"1,250,759.30","1,274,025.80","1,287,230.50","1,264,481.30","1,320,363.10","1,335,231.80"
95000,Southeast,"4,210,089.20","4,315,633.40","4,414,688.90","4,338,850.10","4,611,709.50","4,735,643.30"
96000,Southwest,"2,286,160.70","2,385,042.10","2,462,457.70","2,423,335.50","2,557,665.70","2,620,456.60"
97000,Rocky Mountain,"681,310.10","712,372.10","746,391.60","744,870.40","794,824.10","812,969.20"
98000,Far West,"3,797,440.50","3,956,948.00","4,108,525.80","4,048,649.60","4,342,903.00","4,385,657.80"